total_lines,blank_line_ratio,avg_line_length,long_line_ratio,comment_density,num_functions,num_classes,num_loops,num_conditionals,num_try_except,import_count,assertion_count,avg_function_length,max_function_length,docstring_ratio,avg_identifier_length,single_char_var_ratio,type_annotation_ratio,magic_number_count,nested_function_count,ast_parse_success,avg_cyclomatic_complexity,max_cyclomatic_complexity,maintainability_index,label
81,0.1481,39.9,0.0247,0.058,1,0,9,1,0,1,0,48.0,48,1.0,2.82,0.5357,0.0,16,0,1,11.0,11,74.7,human
89,0.191,41.32,0.0225,0.0556,2,0,3,3,0,1,0,27.0,39,0.5,4.43,0.4301,0.0,8,0,1,4.5,5,75.14,human
59,0.1695,28.8,0.0169,0.0,3,0,1,1,0,0,0,11.67,12,1.0,4.39,0.3889,1.0,4,0,1,1.33,2,52.39,human
141,0.2199,30.39,0.0638,0.0,3,0,2,11,0,1,0,32.67,54,1.0,7.34,0.0,1.0,30,0,1,5.0,10,66.02,human
47,0.2553,37.57,0.0213,0.0286,1,0,0,1,0,1,0,21.0,21,1.0,5.56,0.2188,0.0,3,0,1,6.0,6,85.02,human
39,0.1795,33.25,0.0,0.0,1,0,1,2,0,2,0,20.0,20,1.0,7.86,0.1818,1.0,3,0,1,4.0,4,85.87,human
147,0.2585,41.96,0.068,0.0642,2,0,2,7,0,2,0,48.5,69,1.0,12.57,0.0,1.0,3,0,1,7.5,11,56.9,human
109,0.1743,29.21,0.0367,0.0,3,0,0,4,0,0,0,15.33,23,1.0,9.0,0.2667,1.0,21,0,1,3.33,4,77.77,human
51,0.2745,32.46,0.0196,0.0,1,0,2,3,0,1,0,26.0,26,1.0,5.85,0.35,1.0,2,0,1,5.0,5,73.99,human
52,0.1923,34.93,0.0769,0.0,1,0,4,4,0,0,0,31.0,31,1.0,6.0,0.1087,1.0,5,0,1,8.0,8,78.91,human
61,0.1967,32.73,0.0328,0.0,1,0,3,3,0,0,0,42.0,42,1.0,5.84,0.6,1.0,2,0,1,7.0,7,58.56,human
83,0.2289,27.25,0.0,0.0469,3,0,2,5,0,3,0,19.0,32,1.0,5.05,0.2273,1.0,5,0,1,4.0,8,58.4,human
69,0.2319,28.53,0.0145,0.0566,2,0,1,4,0,1,0,23.5,32,1.0,4.22,0.2778,1.0,6,0,1,6.0,8,45.5,human
63,0.1905,40.98,0.0,0.2353,1,0,1,5,0,0,0,41.0,41,1.0,4.89,0.4286,1.0,43,0,1,6.0,6,67.32,human
58,0.2069,25.3,0.0,0.0,1,0,1,2,1,2,0,23.0,23,1.0,3.47,0.3158,1.0,3,0,1,2.0,2,71.15,human
53,0.2075,28.71,0.0,0.0,2,0,1,3,0,1,0,14.0,20,0.5,3.48,0.6061,1.0,1,0,1,4.5,5,76.11,human
60,0.1833,29.49,0.0,0.0204,1,0,2,3,0,1,0,27.0,27,1.0,11.92,0.04,1.0,2,0,1,5.0,5,68.8,human
63,0.2381,30.81,0.0,0.0,1,0,1,7,0,0,0,36.0,36,1.0,5.58,0.0,0.0,23,0,1,13.0,13,74.97,human
104,0.1827,48.46,0.2212,0.0,1,0,2,2,0,1,0,29.0,29,1.0,13.61,0.0,1.0,1,0,1,4.0,4,31.61,human
45,0.2667,34.61,0.0667,0.0,1,0,3,2,0,0,0,22.0,22,1.0,3.15,0.4815,1.0,3,0,1,6.0,6,77.86,human
50,0.26,37.11,0.12,0.027,1,0,1,2,0,1,0,20.0,20,1.0,2.91,0.2727,1.0,1,0,1,3.0,3,51.29,human
59,0.2034,41.0,0.1356,0.0,1,0,3,2,0,2,0,22.0,22,1.0,9.46,0.0,1.0,1,0,1,7.0,7,62.35,human
48,0.2292,39.57,0.125,0.0,1,0,4,1,0,1,0,25.0,25,1.0,2.48,0.4426,1.0,0,0,1,11.0,11,81.65,human
66,0.197,31.34,0.0,0.0,2,0,1,5,0,1,0,18.0,25,1.0,4.26,0.2174,1.0,16,0,1,4.5,6,69.42,human
49,0.1837,34.83,0.0408,0.0,2,0,2,2,0,0,0,14.5,17,1.0,6.62,0.4483,1.0,5,0,1,3.5,6,68.15,human
85,0.2,25.74,0.0,0.0294,6,1,4,7,0,0,2,10.67,19,0.8333,4.32,0.3571,1.0,8,0,1,3.0,8,74.94,human
68,0.1029,34.82,0.0,0.0,3,1,0,4,0,0,0,19.67,34,1.0,7.2,0.0,1.0,0,0,1,2.5,4,77.23,human
43,0.2093,37.06,0.0,0.2647,1,0,0,1,0,1,0,31.0,31,1.0,7.19,0.0741,1.0,0,0,1,2.0,2,81.59,human
38,0.1579,31.12,0.0,0.2188,1,1,0,0,0,1,0,17.0,17,1.0,4.75,0.0,1.0,0,0,1,1.5,2,100.0,human
79,0.1899,41.84,0.0127,0.1875,2,0,0,4,0,1,0,55.5,68,1.0,9.32,0.0357,1.0,0,1,1,1.0,1,76.34,human
133,0.1955,35.79,0.0,0.0,3,0,6,6,0,3,0,32.0,36,1.0,5.93,0.1127,1.0,21,0,1,4.67,6,71.45,human
92,0.2065,25.95,0.0,0.0685,3,0,1,3,0,0,0,22.0,30,1.0,5.6,0.34,0.3333,0,0,1,2.0,3,73.9,human
84,0.2381,39.98,0.0238,0.0781,1,0,1,4,0,2,0,39.0,39,1.0,7.53,0.1395,1.0,0,0,1,5.0,5,72.52,human
165,0.1333,24.7,0.0,0.0,11,2,1,4,0,4,2,9.73,23,0.6364,3.88,0.1633,1.0,0,0,1,1.69,3,50.57,human
192,0.1406,34.1,0.0104,0.0121,2,0,5,9,0,1,0,81.5,107,1.0,6.42,0.2254,1.0,7,0,1,9.0,14,53.45,human
130,0.2077,29.52,0.0,0.1456,8,2,2,4,0,2,1,5.62,11,0.375,4.23,0.1127,1.0,4,0,1,2.0,4,70.71,human
38,0.1579,32.53,0.0,0.0,1,0,2,3,0,2,0,23.0,23,1.0,7.92,0.0,1.0,0,0,1,6.0,6,86.24,human
73,0.2055,36.14,0.0274,0.2414,2,0,3,0,0,0,0,25.0,47,0.5,2.63,0.5143,0.5,6,0,1,3.5,5,58.17,human
215,0.2186,26.85,0.0,0.0,11,3,1,4,3,3,19,15.64,47,0.7273,5.46,0.1746,1.0,18,0,1,2.93,24,55.26,human
39,0.2564,35.69,0.0256,0.069,1,0,2,1,0,1,0,33.0,33,1.0,4.38,0.3793,1.0,0,0,1,5.0,5,81.83,human
113,0.1416,30.52,0.0,0.0103,3,0,4,9,0,4,0,23.67,58,1.0,7.82,0.0,1.0,1,0,1,5.67,15,72.62,human
38,0.2632,33.14,0.0,0.0,1,0,1,3,0,2,0,28.0,28,1.0,5.4,0.0,1.0,4,0,1,4.0,4,87.59,human
85,0.1647,30.51,0.0,0.0,3,1,2,7,0,4,0,3.0,5,0.0,6.98,0.0,1.0,0,0,1,2.0,3,75.92,human
200,0.085,31.72,0.045,0.0874,2,0,2,14,1,0,0,73.0,124,1.0,4.61,0.3977,1.0,15,0,1,9.0,15,65.76,human
45,0.1333,44.62,0.0,0.0,2,0,0,4,0,0,0,15.0,23,0.5,15.43,0.0,1.0,10,0,1,3.0,3,83.88,human
139,0.1942,29.19,0.0,0.0536,4,1,2,3,0,1,0,26.0,47,0.75,6.58,0.0,1.0,4,0,1,2.0,3,59.82,human
210,0.119,31.65,0.0238,0.0324,7,1,1,12,0,2,0,25.14,44,0.8571,5.72,0.0,1.0,11,0,1,4.38,10,60.0,human
94,0.1596,27.73,0.0106,0.0127,3,1,0,4,0,1,0,17.67,31,0.6667,6.43,0.0,1.0,6,0,1,2.0,3,74.4,human
349,0.1519,31.6,0.0086,0.0068,31,3,6,27,0,5,8,7.77,45,0.0968,5.6,0.063,1.0,2,0,1,2.26,15,43.85,human
179,0.1844,31.32,0.0056,0.0,10,1,2,9,0,4,0,14.4,35,0.7,4.43,0.0078,1.0,0,0,1,2.64,5,63.46,human
163,0.1411,32.74,0.0307,0.0,5,1,6,3,0,4,3,15.6,27,0.8,5.1,0.2986,1.0,29,0,1,3.67,6,61.31,human
160,0.175,25.26,0.0125,0.0455,6,1,1,5,0,4,0,20.0,37,0.6667,4.47,0.0137,1.0,12,0,1,2.29,4,65.67,human
237,0.0886,33.83,0.0084,0.0139,9,2,4,11,0,3,0,10.0,18,0.2222,3.94,0.1333,0.1111,8,0,1,2.55,5,47.16,human
162,0.1173,27.72,0.0123,0.0,9,2,0,4,0,4,0,12.78,23,1.0,4.85,0.0116,1.0,12,0,1,2.27,7,67.13,human
247,0.1822,30.3,0.004,0.0,11,1,6,9,0,2,0,19.91,44,0.8182,3.54,0.2571,1.0,0,0,1,2.5,6,41.32,human
356,0.1348,34.54,0.0225,0.0065,20,2,5,26,0,6,0,10.85,33,0.6,5.63,0.0053,1.0,0,0,1,3.0,7,45.15,human
213,0.2066,31.5,0.0235,0.0178,13,1,3,16,0,5,0,14.38,22,0.7692,6.38,0.0201,1.0,3,2,1,2.08,5,64.68,human
88,0.2159,29.3,0.0455,0.0,3,1,1,5,0,4,0,18.33,47,0.3333,5.49,0.027,1.0,0,0,1,3.25,4,77.58,human
108,0.2315,28.43,0.0,0.0,4,2,0,7,0,2,0,7.0,11,0.0,4.59,0.0,1.0,0,0,1,2.67,5,62.36,human
159,0.195,27.16,0.0063,0.0234,4,1,0,5,0,3,0,27.5,31,1.0,4.5,0.0,1.0,8,0,1,2.4,7,48.37,human
210,0.2333,28.68,0.0,0.0,9,1,4,13,0,5,0,27.33,47,1.0,6.84,0.0,1.0,5,4,1,1.67,2,65.64,human
82,0.1829,32.69,0.0244,0.1045,5,1,0,4,0,1,0,11.4,27,0.4,7.13,0.0,1.0,7,0,1,1.67,3,78.94,human
137,0.2628,30.93,0.0146,0.0198,4,2,0,6,0,4,0,29.0,74,1.0,10.07,0.0,1.0,0,1,1,1.67,3,65.0,human
110,0.1818,28.53,0.0,0.0,10,2,0,6,0,4,0,7.6,17,0.4,5.42,0.0152,1.0,6,0,1,2.25,7,71.77,human
116,0.1379,31.6,0.0172,0.0,9,1,1,7,0,1,0,10.11,14,0.6667,3.41,0.1852,0.0,26,0,1,2.2,5,66.7,human
171,0.1053,31.56,0.0351,0.0719,5,0,6,6,0,2,0,29.8,43,0.8,4.38,0.4844,1.0,39,0,1,3.8,7,66.07,human
73,0.1233,24.56,0.0137,0.0,2,1,0,1,0,3,0,17.0,17,1.0,5.69,0.0,1.0,3,0,1,3.33,4,68.05,human
136,0.0956,38.3,0.0368,0.0244,7,1,0,11,0,2,0,15.43,35,0.5714,4.53,0.1304,1.0,28,0,1,3.62,8,63.86,human
140,0.2143,31.1,0.0143,0.0182,7,1,0,4,0,4,0,16.71,49,0.7143,5.74,0.0213,0.8571,3,1,1,2.0,3,61.78,human
114,0.1316,26.66,0.0,0.0,5,1,2,3,0,1,0,12.8,22,1.0,6.02,0.0,1.0,0,0,1,2.0,3,56.09,human
78,0.2051,33.31,0.0256,0.0,2,1,0,3,0,4,0,38.5,56,1.0,6.92,0.0,1.0,0,1,1,1.0,1,71.21,human
75,0.2533,28.5,0.0133,0.0,4,2,0,2,0,3,0,3.25,5,0.0,4.4,0.0,1.0,0,0,1,1.5,2,69.25,human
102,0.1765,33.18,0.0294,0.0238,4,0,2,3,0,0,0,16.75,20,1.0,6.54,0.3714,1.0,0,0,1,1.75,3,51.28,human
98,0.1224,34.26,0.0612,0.0,2,1,0,4,0,4,1,27.0,37,1.0,4.38,0.0,1.0,3,0,1,5.0,6,60.41,human
83,0.1807,31.28,0.0361,0.0,5,2,2,1,0,4,0,10.0,14,0.8,6.93,0.0732,1.0,10,0,1,1.86,3,74.94,human
185,0.2108,30.47,0.0162,0.0753,3,1,9,12,0,3,0,54.67,56,1.0,4.28,0.1182,1.0,0,0,1,8.0,11,60.84,human
133,0.1429,31.82,0.0,0.0439,7,2,2,5,0,2,0,15.86,51,0.4286,5.47,0.0182,1.0,0,0,1,2.22,6,64.27,human
68,0.1176,24.58,0.0,0.0,4,2,2,2,0,1,0,12.75,41,0.25,6.94,0.0323,0.75,0,0,1,2.0,4,83.43,human
156,0.2179,32.36,0.0,0.0574,3,1,5,6,0,3,3,40.33,67,1.0,6.97,0.0111,1.0,4,0,1,4.25,10,68.59,human
57,0.1404,33.14,0.0175,0.0612,3,1,2,1,0,0,0,15.67,35,0.6667,6.25,0.0,0.3333,0,0,1,2.25,3,80.69,human
210,0.1476,37.13,0.0286,0.0,11,2,4,10,4,5,27,15.91,54,1.0,6.7,0.1118,1.0,10,0,1,4.85,24,53.7,human
148,0.1689,32.59,0.0135,0.0081,4,2,4,3,0,5,0,27.75,65,1.0,6.17,0.0517,1.0,2,0,1,3.0,8,55.5,human
118,0.1271,28.72,0.0,0.0,6,2,5,3,0,4,3,14.83,32,0.8333,6.33,0.0875,1.0,3,0,1,3.0,8,71.38,human
263,0.1483,29.66,0.0152,0.0,20,3,4,17,0,3,0,5.75,11,0.05,5.63,0.0,0.55,0,0,1,2.09,4,58.5,human
150,0.2133,34.49,0.04,0.0424,3,2,3,6,0,4,0,29.33,37,1.0,8.03,0.0,1.0,2,0,1,3.6,6,65.49,human
230,0.1391,32.77,0.0,0.0,15,2,5,12,2,1,12,13.4,45,0.4667,5.5,0.089,0.2667,9,0,1,3.06,16,57.27,human
126,0.1429,32.27,0.0,0.0,7,2,2,3,0,4,0,13.14,20,1.0,6.58,0.0,1.0,5,0,1,1.89,3,61.07,human
143,0.1399,31.95,0.007,0.0325,13,3,0,4,0,0,0,8.31,19,0.4615,5.52,0.0152,0.0,0,0,1,1.46,2,70.27,human
62,0.1774,32.16,0.0161,0.0,3,2,1,2,1,2,0,10.0,18,0.3333,6.45,0.0,0.6667,6,0,1,2.0,3,81.7,human
106,0.1792,30.93,0.0189,0.0,9,1,1,0,0,1,0,3.22,8,0.0,4.74,0.1163,1.0,1,0,1,1.2,2,66.34,human
283,0.1413,31.91,0.0283,0.0041,10,1,3,5,0,3,0,25.5,59,0.6,5.54,0.0326,0.1,1,0,1,2.45,4,34.69,human
86,0.1977,38.41,0.0814,0.0145,4,1,1,2,0,3,0,13.5,43,0.25,5.53,0.075,0.0,0,0,1,2.4,5,72.53,human
27,0.2222,38.9,0.0741,0.0,4,1,0,1,0,2,0,4.25,6,0.0,3.97,0.0,0.0,0,0,1,2.2,3,59.1,human
327,0.1621,30.67,0.0,0.0219,19,3,5,14,0,4,1,14.16,60,0.4737,4.66,0.0068,1.0,2,0,1,2.18,6,45.41,human
84,0.2143,34.5,0.0,0.0152,2,1,1,2,0,2,0,33.5,65,0.5,4.28,0.24,0.0,0,0,1,3.33,5,55.04,human
229,0.2009,40.47,0.0306,0.1202,10,1,3,17,0,0,7,20.5,51,0.7,7.9,0.0604,1.0,0,0,1,4.0,9,60.45,human
127,0.1654,32.9,0.0236,0.0377,11,1,4,8,0,0,10,10.73,27,0.5455,5.05,0.0,1.0,0,1,1,2.82,10,69.43,human
170,0.2118,32.37,0.0118,0.1045,17,2,6,4,0,1,1,5.41,23,0.0,4.04,0.1728,0.0,4,0,1,1.68,7,59.9,human
276,0.1594,30.66,0.0109,0.0302,13,2,4,11,0,5,0,14.46,35,0.5385,5.73,0.1172,1.0,35,0,1,2.2,7,54.8,human
174,0.1322,37.43,0.0345,0.0728,15,1,2,8,0,2,0,7.2,15,0.9333,4.97,0.1154,1.0,0,0,1,2.19,5,61.68,human
237,0.1603,27.11,0.0084,0.0101,10,2,3,6,0,4,0,17.9,34,0.9,4.52,0.1786,1.0,0,0,1,2.08,4,41.38,human
222,0.1982,28.51,0.0135,0.0056,10,2,2,8,0,5,0,16.4,36,0.9,5.81,0.1818,1.0,0,0,1,2.0,5,46.03,human
86,0.1163,30.62,0.0,0.0395,7,1,2,5,0,1,0,6.14,14,0.7143,5.36,0.2533,0.5714,4,0,1,2.0,5,69.94,human
61,0.2787,33.91,0.0,0.0682,1,0,0,3,0,1,0,50.0,50,1.0,5.79,0.0,1.0,0,0,1,4.0,4,53.49,human
117,0.1282,34.86,0.0256,0.0,2,0,2,8,0,1,0,51.0,68,1.0,4.21,0.193,1.0,0,0,1,6.0,9,47.11,human
95,0.1895,41.86,0.0737,0.1299,2,0,3,3,0,2,0,35.0,42,1.0,5.74,0.4074,1.0,2,0,1,5.0,7,60.24,human
87,0.2069,39.86,0.023,0.1594,2,0,2,3,0,2,0,37.5,55,1.0,8.86,0.0556,1.0,1,0,1,4.5,5,61.74,human
48,0.1875,32.33,0.0,0.0,3,0,3,3,0,1,0,15.33,20,0.6667,5.18,0.18,1.0,1,1,1,2.5,4,81.89,human
80,0.2,28.98,0.0125,0.0,2,0,2,3,0,0,0,48.5,67,1.0,4.29,0.1463,1.0,11,1,1,3.0,3,71.98,human
58,0.2931,31.39,0.0,0.0,1,0,1,2,0,1,0,30.0,30,1.0,5.79,0.1429,1.0,0,0,1,3.0,3,60.46,human
105,0.1714,34.8,0.0286,0.0,2,1,1,3,0,3,0,33.5,38,1.0,4.86,0.0,1.0,0,0,1,3.33,5,34.0,human
98,0.2143,32.27,0.0612,0.0,2,0,1,1,0,1,0,34.0,42,1.0,6.14,0.0,1.0,0,0,1,2.0,3,40.84,human
37,0.1351,28.41,0.0,0.0938,1,0,0,1,0,1,0,23.0,23,1.0,4.56,0.375,1.0,6,0,1,4.0,4,60.58,human
29,0.2759,32.05,0.0345,0.0476,1,0,0,1,0,2,0,11.0,11,1.0,4.12,0.5,1.0,0,0,1,3.0,3,65.81,human
96,0.2083,32.57,0.0104,0.0,3,1,2,6,0,1,0,26.0,39,0.6667,4.86,0.1081,1.0,0,0,1,4.25,6,57.44,human
259,0.1583,35.97,0.0541,0.0505,17,0,6,18,0,2,7,11.53,24,0.8824,4.1,0.3379,0.0,11,2,1,4.53,12,51.99,human
156,0.1154,25.74,0.0,0.0,10,2,1,4,0,4,2,10.4,23,0.6,4.04,0.0,1.0,0,0,1,1.83,4,53.0,human
112,0.1518,26.34,0.0,0.0105,5,1,1,3,0,2,0,19.2,33,1.0,5.0,0.1923,1.0,0,0,1,2.0,4,38.76,human
161,0.1429,29.51,0.0,0.0145,9,2,1,8,0,3,0,13.67,30,0.4444,6.14,0.0135,1.0,1,0,1,2.45,4,62.21,human
109,0.1101,30.95,0.0183,0.0103,6,1,0,2,0,0,0,16.33,30,0.8333,3.91,0.0303,0.5,0,0,1,1.57,2,47.16,human
59,0.2373,31.76,0.0169,0.0,7,1,1,0,0,1,0,4.14,7,0.0,4.37,0.0244,0.7143,0,0,1,1.25,2,77.58,human
138,0.1667,25.21,0.0,0.0,7,1,1,2,0,2,0,17.14,25,1.0,3.71,0.25,1.0,0,0,1,1.5,2,33.23,human
232,0.1034,26.37,0.0388,0.0,10,4,1,5,1,0,0,10.0,23,0.5,4.62,0.0519,0.6,18,0,1,1.71,3,72.86,human
66,0.1515,34.62,0.0,0.125,4,1,3,2,0,1,0,12.75,16,1.0,4.62,0.1111,1.0,0,0,1,2.4,3,79.28,human
36,0.1111,39.69,0.0556,0.2188,1,1,0,0,0,1,0,24.0,24,1.0,7.58,0.0,1.0,0,0,1,2.5,3,97.58,human
37,0.2162,36.0,0.0,0.2414,1,0,1,1,0,1,0,22.0,22,1.0,7.0,0.0,1.0,0,0,1,2.0,2,80.37,human
59,0.2034,26.09,0.0,0.0851,2,0,1,3,0,1,1,24.5,39,0.5,6.5,0.0714,0.5,2,0,1,5.5,6,70.46,human
46,0.2174,42.47,0.0435,0.3056,1,0,0,1,0,4,0,27.0,27,1.0,10.68,0.0,1.0,3,0,1,1.0,1,92.54,human
29,0.1724,36.67,0.0345,0.2917,1,0,0,0,0,1,0,18.0,18,1.0,6.44,0.0,1.0,0,0,1,1.0,1,75.59,human
354,0.2006,41.53,0.0169,0.0954,24,4,0,34,0,16,0,11.96,110,0.1667,5.75,0.1497,1.0,4,1,1,2.74,19,42.76,human
188,0.2128,39.55,0.0426,0.0338,4,8,0,2,0,10,0,2.75,6,0.5,9.89,0.0,1.0,0,0,1,1.42,3,52.34,human
48,0.2708,31.14,0.0,0.0286,2,0,1,4,0,5,0,9.5,17,0.5,6.94,0.0,1.0,0,0,1,4.0,6,84.91,human
115,0.1826,25.31,0.0087,0.2128,1,0,1,3,3,18,0,10.0,10,1.0,9.3,0.0,1.0,1,0,1,4.0,4,79.27,human
18,0.2778,31.54,0.0,0.0769,0,0,0,1,0,1,0,0.0,0,0.0,5.0,0.0,0.0,0,0,1,0.0,0,64.36,human
219,0.1598,29.45,0.0183,0.1033,2,0,0,6,6,19,5,23.0,36,0.0,10.99,0.0,1.0,9,0,1,6.5,10,69.52,human
128,0.0938,36.37,0.0156,0.0345,2,0,2,1,0,1,0,9.5,16,0.0,4.96,0.0714,0.5,68,1,1,6.0,6,83.68,human
23,0.1739,46.37,0.0,0.2105,0,0,3,3,0,2,0,0.0,0,0.0,4.97,0.0,0.0,0,0,1,0.0,0,86.67,human
180,0.2278,50.16,0.1056,0.0216,8,0,0,1,0,6,0,17.88,48,1.0,4.85,0.0,1.0,0,0,1,1.0,1,100.0,human
51,0.2157,37.27,0.0392,0.0,2,0,0,1,1,2,1,12.0,13,1.0,14.26,0.0,1.0,0,0,1,2.5,3,100.0,human
162,0.3951,44.92,0.0185,0.0102,3,25,0,2,0,5,0,8.67,9,1.0,10.3,0.0,1.0,0,0,1,1.29,5,73.32,human
130,0.2615,41.71,0.0154,0.0729,17,2,0,3,0,5,0,3.29,9,0.0588,5.31,0.0111,1.0,0,0,1,1.37,2,76.39,human
132,0.1667,35.78,0.0303,0.0,3,0,0,9,4,13,0,29.33,55,1.0,11.91,0.0,0.3333,0,0,1,4.33,6,61.95,human
79,0.3038,41.78,0.0,0.0364,3,0,1,6,0,7,0,17.33,22,1.0,7.21,0.0526,1.0,0,0,1,3.67,5,82.53,human
17,0.1765,52.36,0.0,0.0714,0,0,0,0,0,2,0,0.0,0,0.0,12.73,0.0,0.0,0,0,1,0.0,0,100.0,human
385,0.1948,47.05,0.039,0.1,22,5,0,10,1,15,0,9.59,49,0.6818,6.44,0.0645,1.0,0,1,1,1.81,5,59.25,human
367,0.2207,44.94,0.0109,0.014,14,2,5,17,3,9,0,20.36,60,0.5,3.91,0.2353,1.0,0,0,1,3.06,7,57.45,human
212,0.217,42.92,0.0189,0.012,15,2,5,10,2,14,0,10.93,23,0.3333,6.31,0.099,1.0,0,1,1,2.31,5,62.48,human
77,0.2468,40.29,0.026,0.0345,2,6,0,2,0,10,0,7.0,13,0.0,8.44,0.1404,1.0,0,0,1,1.25,2,79.5,human
39,0.0,52.13,0.0,0.0,0,0,0,0,0,39,0,0.0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0,100.0,human
128,0.2031,43.26,0.0234,0.0784,4,1,0,6,0,11,0,26.5,35,0.75,6.48,0.1,1.0,0,0,1,2.4,3,81.73,human
257,0.2451,47.16,0.0389,0.0979,12,2,0,13,1,11,0,12.75,27,0.5833,8.78,0.0746,1.0,0,0,1,2.57,5,56.42,human
179,0.1844,40.35,0.0168,0.0,7,4,4,15,1,9,1,20.86,56,0.2857,5.77,0.0709,1.0,0,1,1,4.11,13,56.75,human
87,0.1149,39.31,0.046,0.1818,0,0,0,1,0,6,0,0.0,0,0.0,7.95,0.5517,0.0,0,0,1,0.0,0,79.29,human
298,0.2047,41.42,0.0201,0.0253,12,3,1,16,1,18,1,17.33,47,0.25,5.59,0.101,1.0,0,0,1,3.07,9,60.64,human
191,0.2356,46.38,0.0209,0.1986,6,2,3,7,0,5,1,14.83,50,0.3333,4.87,0.1789,1.0,0,1,1,4.5,7,60.69,human
215,0.2419,45.58,0.014,0.0,11,2,0,9,0,11,0,11.18,26,0.7273,3.9,0.3611,1.0,0,0,1,2.38,7,58.28,human
170,0.2824,44.37,0.0059,0.0,5,0,0,5,0,6,0,30.0,33,1.0,4.79,0.3077,1.0,0,0,1,1.8,2,100.0,human
327,0.2783,37.94,0.0,0.0381,34,10,2,8,0,11,0,4.18,32,0.2941,4.11,0.2706,1.0,0,0,1,1.75,5,58.88,human
18,0.2778,31.62,0.0,0.0,2,0,0,0,0,4,0,3.0,4,0.0,4.08,0.3077,0.0,0,0,1,1.0,1,70.12,human
23,0.3478,30.73,0.0435,0.0,3,0,1,0,0,3,0,3.33,6,0.0,4.87,0.2667,1.0,1,0,1,1.33,2,64.88,human
39,0.2051,31.61,0.0,0.0,4,1,0,0,0,5,0,9.0,20,0.0,5.93,0.0,1.0,0,2,1,1.0,1,100.0,human
38,0.2632,32.71,0.0,0.0,4,0,0,0,0,4,0,4.5,7,0.0,4.88,0.125,1.0,0,0,1,1.5,3,100.0,human
116,0.2241,35.33,0.0086,0.0444,6,0,0,10,1,12,0,15.0,35,0.8333,6.29,0.0395,0.0,0,1,1,3.2,7,62.92,human
56,0.2857,31.52,0.0357,0.0,5,0,0,2,0,5,0,7.2,12,1.0,4.57,0.2857,0.0,0,0,1,1.4,2,86.06,human
48,0.25,37.72,0.0,0.3056,2,0,0,1,0,5,0,22.5,43,0.5,3.85,0.0,0.0,0,1,1,2.0,2,94.22,human
125,0.2,31.8,0.008,0.0,5,0,0,8,0,10,0,19.0,30,1.0,5.53,0.0267,0.0,2,0,1,2.8,4,65.22,human
98,0.2245,53.24,0.1327,0.0,4,4,0,0,2,12,2,2.25,4,0.0,8.69,0.0,1.0,0,0,1,2.0,3,82.72,human
34,0.1765,44.32,0.0588,0.0,0,0,0,1,0,8,0,0.0,0,0.0,10.73,0.0,0.0,1,0,1,1.33,2,69.73,human
41,0.0976,39.14,0.0488,0.1622,0,0,0,1,1,9,0,0.0,0,0.0,6.96,0.1739,0.0,0,0,1,4.0,4,94.78,human
61,0.2459,38.24,0.082,0.0217,1,1,0,0,0,5,0,22.0,22,1.0,5.69,0.3077,1.0,0,0,1,1.5,2,100.0,human
25,0.12,48.0,0.04,0.0,0,0,0,0,0,20,0,0.0,0,0.0,11.0,0.0,0.0,0,0,1,0.0,0,100.0,human
364,0.0769,33.45,0.0549,0.0149,4,2,5,20,4,22,1,67.25,235,0.5,8.6,0.0273,1.0,0,0,1,7.17,35,50.04,human
235,0.1787,34.26,0.0255,0.0259,5,2,2,8,0,4,0,17.4,69,0.2,6.78,0.1053,1.0,1,0,1,3.43,8,63.25,human
136,0.1544,36.57,0.0515,0.0087,7,0,2,7,1,10,1,12.57,20,0.1429,8.93,0.0,1.0,4,0,1,3.29,8,58.78,human
256,0.207,35.45,0.082,0.0099,9,11,1,3,0,6,0,13.67,39,0.0,7.23,0.0,1.0,0,0,1,1.8,6,72.38,human
186,0.2258,35.66,0.0376,0.0208,7,2,0,1,0,12,0,4.0,8,0.1429,7.45,0.0312,1.0,0,0,1,1.31,2,76.09,human
316,0.1772,32.77,0.0348,0.0154,7,13,6,12,0,12,0,24.57,75,0.0,9.02,0.0071,1.0,4,0,1,1.9,11,38.68,human
60,0.15,43.47,0.0333,0.0,0,2,3,6,0,6,0,0.0,0,0.0,7.8,0.0225,0.0,0,0,1,1.0,1,52.62,human
133,0.2256,30.85,0.0,0.0097,6,0,5,7,1,6,0,15.17,34,0.3333,7.7,0.0283,0.8333,0,0,1,3.5,6,57.37,human
222,0.1847,33.45,0.036,0.011,5,9,5,5,0,11,0,23.8,60,0.0,8.96,0.0103,1.0,4,0,1,1.64,4,46.68,human
216,0.1481,35.06,0.0694,0.0054,9,0,0,11,0,5,0,18.44,59,0.0,9.53,0.0,1.0,0,0,1,2.33,4,41.6,human
149,0.1208,33.83,0.0134,0.0,1,2,4,13,0,6,2,121.0,121,0.0,6.67,0.0741,1.0,0,0,1,9.67,27,38.97,human
40,0.3,35.11,0.025,0.0,1,0,1,3,0,3,0,26.0,26,0.0,6.51,0.1622,1.0,0,0,1,4.0,4,60.3,human
81,0.1358,39.3,0.0494,0.0286,1,2,1,3,0,8,0,53.0,53,0.0,7.74,0.0595,1.0,4,0,1,2.33,5,62.15,human
