total_lines,blank_line_ratio,avg_line_length,long_line_ratio,comment_density,num_functions,num_classes,num_loops,num_conditionals,num_try_except,import_count,assertion_count,avg_function_length,max_function_length,docstring_ratio,avg_identifier_length,single_char_var_ratio,type_annotation_ratio,magic_number_count,nested_function_count,ast_parse_success,avg_cyclomatic_complexity,max_cyclomatic_complexity,maintainability_index,label
51,0.2353,32.9,0.0392,0.0,2,0,1,1,0,4,0,13.0,14,1.0,7.41,0.0,1.0,0,0,1,1.5,2,88.51,human
62,0.2258,34.54,0.0,0.0,4,0,1,1,0,3,0,10.25,14,0.5,10.54,0.0,1.0,4,0,1,2.5,3,79.88,human
60,0.3,36.29,0.0,0.119,1,0,1,7,0,1,0,54.0,54,1.0,6.63,0.0,1.0,0,0,1,10.0,10,79.02,human
22,0.1818,28.33,0.1364,0.0,1,0,0,1,0,1,0,16.0,16,1.0,4.5,0.0,1.0,1,0,1,3.0,3,65.75,human
64,0.2969,34.6,0.0,0.0667,2,0,2,2,0,1,0,21.5,28,1.0,6.7,0.4815,1.0,0,0,1,3.0,5,63.42,human
113,0.1062,38.07,0.0885,0.0495,3,0,2,3,0,2,0,29.67,47,1.0,13.11,0.0571,1.0,0,0,1,2.67,5,76.8,human
91,0.1319,43.86,0.022,0.2152,2,0,3,3,0,1,0,58.0,85,0.5,11.32,0.0758,1.0,0,1,1,3.0,3,72.92,human
80,0.1625,31.36,0.0375,0.0448,2,0,2,4,0,1,0,41.5,70,0.5,6.17,0.0429,1.0,4,1,1,6.0,6,77.07,human
26,0.1538,38.36,0.0,0.1364,1,0,2,1,0,1,0,16.0,16,1.0,7.77,0.0,1.0,0,0,1,2.0,2,86.13,human
91,0.1758,33.53,0.0549,0.12,2,0,2,5,0,0,7,39.5,45,1.0,6.51,0.1136,1.0,2,0,1,8.0,8,71.85,human
65,0.2308,28.48,0.0154,0.0,6,1,4,3,0,2,0,6.5,14,0.1667,4.5,0.1379,1.0,0,0,1,2.57,4,75.93,human
74,0.2027,33.64,0.0,0.0847,1,0,2,3,0,1,0,63.0,63,1.0,9.5,0.0,1.0,0,0,1,5.0,5,41.56,human
30,0.2667,23.86,0.0,0.0,1,0,0,2,0,2,0,21.0,21,1.0,3.5,0.0,1.0,0,0,1,2.0,2,81.84,human
101,0.198,31.22,0.0396,0.1235,2,0,2,6,0,2,7,28.5,39,1.0,5.38,0.3649,1.0,3,0,1,4.5,5,72.98,human
40,0.1,31.94,0.025,0.0,1,0,2,3,0,0,1,24.0,24,1.0,6.67,0.381,1.0,1,0,1,5.0,5,77.82,human
26,0.1923,30.05,0.0769,0.1429,1,0,0,1,0,1,0,20.0,20,1.0,4.5,0.0,1.0,1,0,1,3.0,3,55.89,human
33,0.2424,33.72,0.0606,0.0,1,0,0,1,0,1,0,24.0,24,1.0,7.38,0.0,1.0,0,0,1,1.0,1,70.02,human
20,0.15,24.53,0.0,0.0,1,0,0,1,0,0,0,15.0,15,1.0,2.0,0.5,1.0,0,0,1,3.0,3,94.96,human
170,0.1824,36.35,0.0353,0.0,2,0,5,10,0,0,0,51.5,62,1.0,4.85,0.3952,1.0,0,0,1,8.5,12,62.44,human
89,0.1798,28.64,0.0112,0.0137,3,0,1,4,0,1,0,21.33,27,1.0,6.37,0.1,1.0,9,0,1,2.67,3,62.85,human
112,0.1875,35.56,0.0268,0.1429,1,0,4,6,0,1,0,85.0,85,1.0,4.36,0.4384,1.0,0,0,1,13.0,13,56.37,human
37,0.2703,33.33,0.0,0.0,1,0,1,3,0,1,0,31.0,31,1.0,7.48,0.0,1.0,0,0,1,4.0,4,85.09,human
31,0.0645,34.86,0.0323,0.0,1,0,1,3,0,0,0,27.0,27,1.0,12.92,0.0,1.0,0,0,1,5.0,5,87.48,human
95,0.1368,32.17,0.0105,0.0488,4,0,2,4,0,2,0,18.75,27,1.0,5.91,0.0,1.0,5,0,1,2.75,4,68.93,human
92,0.2717,35.87,0.0109,0.1194,1,0,1,5,1,1,0,86.0,86,1.0,7.09,0.0,1.0,26,0,1,11.0,11,70.54,human
125,0.192,41.11,0.024,0.0792,3,0,4,5,0,2,0,34.67,48,1.0,9.32,0.1327,1.0,1,0,1,3.67,5,65.36,human
73,0.1644,37.98,0.0137,0.0,1,0,0,4,1,1,0,63.0,63,1.0,11.05,0.0,1.0,4,0,1,5.0,5,62.99,human
52,0.3077,43.58,0.0769,0.0,1,0,0,3,0,1,0,46.0,46,1.0,8.88,0.0,1.0,0,0,1,6.0,6,82.13,human
46,0.1304,34.73,0.1087,0.0,1,0,0,3,0,0,0,41.0,41,1.0,7.44,0.0,1.0,0,0,1,3.0,3,63.26,human
122,0.1885,34.19,0.0246,0.0202,7,0,0,2,2,1,0,12.29,34,1.0,7.25,0.0,1.0,0,0,1,2.43,7,74.79,human
52,0.2308,36.73,0.0,0.125,1,0,1,2,0,2,0,34.0,34,1.0,7.5,0.0882,1.0,0,0,1,4.0,4,82.92,human
33,0.2121,30.92,0.0303,0.0,1,0,2,0,0,0,0,33.0,33,1.0,6.22,0.0,1.0,0,0,1,5.0,5,64.25,human
44,0.0909,23.57,0.0,0.0,1,0,1,4,0,0,0,38.0,38,1.0,4.06,0.1765,1.0,0,0,1,6.0,6,68.52,human
